transaction_id,date,store_id,product_id,units,unit_price,total_amount,,ISSUES FOUND AND FIXED
T00165,6/5/2025,S002,P201,10,22,220,,
T00171,10/10/2025,S002,P204,3,15,45,,
T00070,3/21/2025,S001,P104,9,18,162,,
T00177,11/1/2025,S001,P202,5,20,100,,
T00133,11/7/2025,S003,P202,10,20,200,,
T00174,2/6/2025,S006,P302,8,110,880,,
T00132,12/25/2025,S005,P203,8,30,240,,
T00103,1/13/2025,S002,P203,3,30,90,,
T00116,8/27/2025,S004,P303,9,28,252,,
T00002,12/13/2025,S002,P201,2,22,44,,
T00086,11/25/2025,S001,P301,6,275,1650,,
T00130,1/11/2025,S001,P204,4,15,60,,
T00118,7/14/2025,S006,P101,10,65,650,,
T00066,6/28/2025,S005,P301,3,275,825,,
T00119,7/19/2025,S001,P304,5,10,50,,
T00205,10/20/2025,S002,P204,,15,,,
T00184,4/3/2025,S004,P403,5,95,475,,
T00128,10/4/2025,S001,P404,1,12,12,,
T00062,4/15/2025,S006,P303,5,28,140,,
T00200,5/22/2025,S005,P201,2,22,44,,
T00173,4/29/2025,S004,P302,1,110,110,,
T00045,8/5/2025,S001,P402,6,85,510,,
T00044,4/8/2025,S002,P404,7,12,84,,
T00047,5/8/2025,S006,P303,2,28,56,,
T00203,6/26/2025,S005,P404,,12,,,
T00136,12/23/2025,S005,P204,2,15,30,,
T00063,3/9/2025,S002,P301,7,275,1925,,
T00038,5/7/2025,S004,P403,2,95,190,,
T00111,9/24/2025,S003,P204,5,15,75,,
T00096,12/13/2025,S002,P402,7,85,595,,
T00092,8/9/2025,S005,P203,6,30,180,,
T00076,1/19/2025,S001,P201,9,22,198,,
T00015,11/22/2025,S006,P103,10,15,150,,
T00084,4/27/2025,S004,P304,5,10,50,,
T00202,3/18/2025,S006,P404,,12,,,
T00008,2/19/2025,S001,P103,7,15,105,,
T00077,3/7/2025,S005,P201,7,22,154,,
T00043,10/23/2025,S002,P201,10,22,220,,
T00114,3/19/2025,S003,P103,3,15,45,,
T00157,4/10/2025,S003,P302,2,110,220,,
T00189,6/15/2025,S001,P303,5,28,140,,
T00112,8/14/2025,S006,P204,5,15,75,,
T00024,11/2/2025,S006,P202,7,20,140,,
T00059,2/4/2025,S002,P103,10,15,150,,
T00074,3/24/2025,S003,P201,5,22,110,,
T00061,2/11/2025,S005,P102,10,10,100,,
T00018,5/18/2025,S001,P303,7,28,196,,
T00159,1/24/2025,S006,P201,5,22,110,,
T00196,3/2/2025,S002,P104,8,18,144,,
T00139,8/4/2025,S006,P303,1,28,28,,
T00125,1/26/2025,S002,P403,3,95,285,,
T00161,5/26/2025,S001,P101,10,65,650,,
T00201,10/28/2025,S006,P302,,110,,,
T00137,1/22/2025,S006,P104,10,18,180,,
T00192,4/15/2025,S004,P403,1,95,95,,
T00021,8/8/2025,S002,P301,10,275,2750,,
T00204,8/22/2025,S005,P401,,45,,,
T00102,12/11/2025,S003,P103,4,15,60,,
T00160,11/23/2025,S005,P302,3,110,330,,
T00087,3/1/2025,S004,P303,1,28,28,,
T00068,12/1/2025,S005,P302,10,110,1100,,
T00121,7/19/2025,S004,P404,1,12,12,,
T00020,5/16/2025,S004,P403,3,95,285,,
T00040,2/6/2025,S002,P204,1,15,15,,
T00168,8/8/2025,S004,P302,10,110,1100,,
T00105,9/11/2025,S004,P203,7,30,210,,
T00037,12/10/2025,S006,P302,7,110,770,,
T00185,8/29/2025,S004,P404,2,12,24,,
T00004,11/5/2025,S002,P204,9,15,135,,
T00117,7/19/2025,S001,P203,7,30,210,,
T00135,4/12/2025,S003,P401,7,45,315,,
T00113,5/20/2025,S006,P302,4,110,440,,
T00026,12/16/2025,S003,P101,2,65,130,,
T00085,6/18/2025,S001,P203,7,30,210,,
T00152,10/11/2025,S003,P304,8,10,80,,
T00129,11/30/2025,S003,P204,2,15,30,,
T00033,2/10/2025,S001,P204,10,15,150,,
T00010,10/10/2025,S001,P401,2,45,90,,
T00127,8/4/2025,S003,P401,5,45,225,,
T00039,10/29/2025,S001,P303,1,28,28,,
T00167,7/14/2025,S005,P204,9,15,135,,
T00170,12/5/2025,S006,P203,5,30,150,,
T00099,8/15/2025,S005,P303,8,28,224,,
T00098,8/9/2025,S003,P302,4,110,440,,
T00181,5/9/2025,S004,P303,10,28,280,,
T00122,8/28/2025,S006,P401,3,45,135,,
T00191,7/5/2025,S001,P203,9,30,270,,
T00082,3/23/2025,S006,P204,5,15,75,,
T00012,2/10/2025,S001,P204,5,15,75,,
T00106,2/24/2025,S002,P201,1,22,22,,
T00199,4/8/2025,S005,P201,7,22,154,,
T00060,5/7/2025,S004,P104,10,18,180,,
